ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Voltage Vpp
Code: dcm
Concentration: 0 %
Wavelength: 1600 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   80
Ending pos:   40
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   
 110     0.06508179             0.15807495             0.18816452             0.00000000
 111     0.06539917             0.15755692             0.18735733             0.00000000
 112     0.06606064             0.15767822             0.18764114             0.00000000
 113     0.06484680             0.15715714             0.18671341             0.00000000
 114     0.06561508             0.15695114             0.18648300             0.00000000
 115     0.06620255             0.15725403             0.18715057             0.00000000
 116     0.06762695             0.15886154             0.18951035             0.00000000
 117     0.06749954             0.15710144             0.18715744             0.00000000
 118     0.06712494             0.15720520             0.18718414             0.00000000
 119     0.06855316             0.15817261             0.18874359             0.00000000
 120     0.06857986             0.15835800             0.18917694             0.00000000
 121     0.06779327             0.15866318             0.18934021             0.00000000
 122     0.06735992             0.15843430             0.18896790             0.00000000
 123     0.06760483             0.15857773             0.18920975             0.00000000
 124     0.06850204             0.15842438             0.18940582             0.00000000
 125     0.06846924             0.15862427             0.18987503             0.00000000
 126     0.06615829             0.15754852             0.18793106             0.00000000
 127     0.06627579             0.15777054             0.18831635             0.00000000
 128     0.06511459             0.15657883             0.18665161             0.00000000
 129     0.06567764             0.15755920             0.18817062             0.00000000
 130     0.06614075             0.15779419             0.18872528             0.00000000
 131     0.06590500             0.15646439             0.18678513             0.00000000
 132     0.06584015             0.15770340             0.18857880             0.00000000
 133     0.06413651             0.15756378             0.18816223             0.00000000
 134     0.06469116             0.15799789             0.18880768             0.00000000
 135     0.06425171             0.15785751             0.18858795             0.00000000
 136     0.06400681             0.15807037             0.18893661             0.00000000
 137     0.06244888             0.15756683             0.18795319             0.00000000
 138     0.06495590             0.15861359             0.19019394             0.00000000
 139     0.06428528             0.15766754             0.18879623             0.00000000
 140     0.06374969             0.15734558             0.18823166             0.00000000
 141     0.06242523             0.15769424             0.18826675             0.00000000
 142     0.06191254             0.15736465             0.18791351             0.00000000
 143     0.06178589             0.15757065             0.18820877             0.00000000
 144     0.06259003             0.15779343             0.18860397             0.00000000
 145     0.06269073             0.15792542             0.18888168             0.00000000
 146     0.06324692             0.15817337             0.18949890             0.00000000
 147     0.06249924             0.15792770             0.18881989             0.00000000
 148     0.06252518             0.15733871             0.18852615             0.00000000
 149     0.06221085             0.15782547             0.18885727             0.00000000
 150     0.06182175             0.15727158             0.18799820             0.00000000
 151     0.06200562             0.15783768             0.18889008             0.00000000
 152     0.06159744             0.15736160             0.18819656             0.00000000
 153     0.06260681             0.15742035             0.18869171             0.00000000
 154     0.06226959             0.15710449             0.18836594             0.00000000
 155     0.06090927             0.15751572             0.18832016             0.00000000
 156     0.06207657             0.15688858             0.18773041             0.00000000
 157     0.06203003             0.15715485             0.18825226             0.00000000
 158     0.06163177             0.15717239             0.18809891             0.00000000
 159     0.06088409             0.15682831             0.18748627             0.00000000
 160     0.06206512             0.15752106             0.18882294             0.00000000
 161     0.06170273             0.15741882             0.18855591             0.00000000
 162     0.06183929             0.15787659             0.18920517             0.00000000
 163     0.06182251             0.15700531             0.18818512             0.00000000
 164     0.06263504             0.15803452             0.18974686             0.00000000
 165     0.06162262             0.15823135             0.18982010             0.00000000
 166     0.06144867             0.15766449             0.18885117             0.00000000
 167     0.06258011             0.15859375             0.19062119             0.00000000
 168     0.06147614             0.15759354             0.18895416             0.00000000
 169     0.06188812             0.15764771             0.18917770             0.00000000
 170     0.06169662             0.15776443             0.18923492             0.00000000
 171     0.06235046             0.15804367             0.18982620             0.00000000
 172     0.06196899             0.15734787             0.18867187             0.00000000
 173     0.06191254             0.15834732             0.19014969             0.00000000
 174     0.06189499             0.15721436             0.18856277             0.00000000
 175     0.06213226             0.15829391             0.19020767             0.00000000
 176     0.06221237             0.15773544             0.18934555             0.00000000
 177     0.06105652             0.15628738             0.18715668             0.00000000
 178     0.06221771             0.15711594             0.18885422             0.00000000
 179     0.06207962             0.15734329             0.18904953             0.00000000
 180     0.06133881             0.15709839             0.18840103             0.00000000
 181     0.06223755             0.15770569             0.18946152             0.00000000
 182     0.06269379             0.15856400             0.19066467             0.00000000
 183     0.06086502             0.15781326             0.18930511             0.00000000
 184     0.06116486             0.15628967             0.18729401             0.00000000
 185     0.06163406             0.15792160             0.18960800             0.00000000
 186     0.06165619             0.15834045             0.19026794             0.00000000
 187     0.06281967             0.15811691             0.19020004             0.00000000
 188     0.06041412             0.15589523             0.18682175             0.00000000
 189     0.06207962             0.15805817             0.19014893             0.00000000
 190     0.06171494             0.15840073             0.19045868             0.00000000
 191     0.06066132             0.15776672             0.18926544             0.00000000
 192     0.06063766             0.15764160             0.18913574             0.00000000
 193     0.06130905             0.15806656             0.18996582             0.00000000
 194     0.06187897             0.15880508             0.19117126             0.00000000
 195     0.05994873             0.15679092             0.18791809             0.00000000
 196     0.06083298             0.15702362             0.18845139             0.00000000
 197     0.06062164             0.15766144             0.18923416             0.00000000
 198     0.06292343             0.15894089             0.19154739             0.00000000
 199     0.06118698             0.15738297             0.18897705             0.00000000
 200     0.06168900             0.15783234             0.18982925             0.00000000
 201     0.06220245             0.15865097             0.19105453             0.00000000
