ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Voltage Vpp
Code: silica
Concentration: 0 %
Wavelength: 1600 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   40
Ending pos:   80
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   
 110     0.06591873             0.15878296             0.19099350             0.00000000
 111     0.06472626             0.15754089             0.18897171             0.00000000
 112     0.06552734             0.15772095             0.18910828             0.00000000
 113     0.06483231             0.15686646             0.18778915             0.00000000
 114     0.06627350             0.15887680             0.19025421             0.00000000
 115     0.06631317             0.15842743             0.18962250             0.00000000
 116     0.06681213             0.15851898             0.18997650             0.00000000
 117     0.06549072             0.15817184             0.18904190             0.00000000
 118     0.06583633             0.15810699             0.18883133             0.00000000
 119     0.06478500             0.15845184             0.18922653             0.00000000
 120     0.06423721             0.15797043             0.18845215             0.00000000
 121     0.06284027             0.15760956             0.18773880             0.00000000
 122     0.06252441             0.15745010             0.18746948             0.00000000
 123     0.06336441             0.15824051             0.18878250             0.00000000
 124     0.06429901             0.15805664             0.18909073             0.00000000
 125     0.06296997             0.15635605             0.18661041             0.00000000
 126     0.06335526             0.15804443             0.18848724             0.00000000
 127     0.06376724             0.15867538             0.18962097             0.00000000
 128     0.06354904             0.15867081             0.18947830             0.00000000
 129     0.06459732             0.15975647             0.19132843             0.00000000
 130     0.06158752             0.15834274             0.18882828             0.00000000
 131     0.06118393             0.15827103             0.18868179             0.00000000
 132     0.06128006             0.15441666             0.18486099             0.00000000
 133     0.06067200             0.15762634             0.18784256             0.00000000
 134     0.06168060             0.15791168             0.18845291             0.00000000
 135     0.06163330             0.15794601             0.18846054             0.00000000
 136     0.06125107             0.15820923             0.18895264             0.00000000
 137     0.05966721             0.15807190             0.18838730             0.00000000
 138     0.06038055             0.15786972             0.18823700             0.00000000
 139     0.06159286             0.15865173             0.18967056             0.00000000
 140     0.06244202             0.15861053             0.19000015             0.00000000
 141     0.06004944             0.15855713             0.18922272             0.00000000
 142     0.06014862             0.15808334             0.18875809             0.00000000
 143     0.06081619             0.15745239             0.18833084             0.00000000
 144     0.06109161             0.15906372             0.19019623             0.00000000
 145     0.05995026             0.15883026             0.18955231             0.00000000
 146     0.06029587             0.15894775             0.18989944             0.00000000
 147     0.05983200             0.15867004             0.18947678             0.00000000
 148     0.06034012             0.15841751             0.18927612             0.00000000
 149     0.05971680             0.15863266             0.18939362             0.00000000
 150     0.05882034             0.15760345             0.18805923             0.00000000
 151     0.05922318             0.15838623             0.18888702             0.00000000
 152     0.06082764             0.15905991             0.19044342             0.00000000
 153     0.05976715             0.15805740             0.18904343             0.00000000
 154     0.05842896             0.15782623             0.18816833             0.00000000
 155     0.05798645             0.15711136             0.18724976             0.00000000
 156     0.05937424             0.15796814             0.18854675             0.00000000
 157     0.05895538             0.15852051             0.18917389             0.00000000
 158     0.05854263             0.15760880             0.18794708             0.00000000
 159     0.05871811             0.15765915             0.18828735             0.00000000
 160     0.05893555             0.15754166             0.18834763             0.00000000
 161     0.05957565             0.15852432             0.18951645             0.00000000
 162     0.05914230             0.15747375             0.18808746             0.00000000
 163     0.05954971             0.15787430             0.18868027             0.00000000
 164     0.05922546             0.15799408             0.18877335             0.00000000
 165     0.05993652             0.15855789             0.18971481             0.00000000
 166     0.05852432             0.15739059             0.18790665             0.00000000
 167     0.05874252             0.15786209             0.18866348             0.00000000
 168     0.05868912             0.15760956             0.18843613             0.00000000
 169     0.06023941             0.15804062             0.18949127             0.00000000
 170     0.05815735             0.15764465             0.18810730             0.00000000
 171     0.05858383             0.15701141             0.18774414             0.00000000
